t,meas_left,meas_right
1753186970.098801,-0.017453292519943295,-0.017453292519943295
1753186970.226267,-0.017453292519943295,-0.03490658503988659
1753186970.2610087,-0.017453292519943295,-0.03490658503988659
1753186970.3539848,-0.017453292519943295,-0.03490658503988659
1753186970.461462,-0.017453292519943295,-0.03490658503988659
1753186970.4799821,-0.017453292519943295,-0.03490658503988659
1753186970.607462,-0.017453292519943295,-0.03490658503988659
1753186970.662115,-0.017453292519943295,-0.03490658503988659
1753186970.7350328,-0.017453292519943295,-0.017453292519943295
1753186970.863243,-0.017453292519943295,-0.017453292519943295
1753186970.8632612,-0.017453292519943295,-0.017453292519943295
1753186970.9884412,-0.017453292519943295,-0.017453292519943295
1753186971.0647562,-0.017453292519943295,-0.017453292519943295
1753186971.1171937,-0.017453292519943295,-0.03490658503988659
1753186971.2451208,-0.017453292519943295,-0.017453292519943295
1753186971.2660067,-0.017453292519943295,-0.017453292519943295
1753186971.370475,-0.03490658503988659,-0.03490658503988659
1753186971.4674234,-0.03490658503988659,-0.03490658503988659
1753186971.4961073,-0.017453292519943295,-0.017453292519943295
1753186971.6243134,-0.017453292519943295,-0.017453292519943295
1753186971.6691103,-0.017453292519943295,-0.017453292519943295
1753186971.7524133,-0.017453292519943295,-0.017453292519943295
1753186971.8694124,-0.017453292519943295,-0.017453292519943295
1753186971.8806925,-0.017453292519943295,-0.03490658503988659
1753186972.0055056,-0.017453292519943295,-0.03490658503988659
1753186972.0713255,-0.017453292519943295,-0.03490658503988659
1753186972.1306107,-0.017453292519943295,-0.017453292519943295
1753186972.2584145,-0.017453292519943295,-0.017453292519943295
1753186972.2724843,-0.017453292519943295,-0.017453292519943295
1753186972.3834848,-0.017453292519943295,-0.03490658503988659
1753186972.4729784,-0.017453292519943295,-0.03490658503988659
1753186972.5088387,-0.017453292519943295,-0.017453292519943295
1753186972.6365182,-0.017453292519943295,-0.017453292519943295
1753186972.6741526,-0.017453292519943295,-0.017453292519943295
1753186972.7641308,-0.017453292519943295,-0.017453292519943295
1753186972.8750603,-0.017453292519943295,-0.017453292519943295
1753186972.8899524,-0.03490658503988659,-0.03490658503988659
1753186973.0179193,-0.017453292519943295,-0.017453292519943295
1753186973.0762184,-0.017453292519943295,-0.017453292519943295
1753186973.142478,-0.017453292519943295,-0.017453292519943295
1753186973.2705228,-0.017453292519943295,-0.017453292519943295
1753186973.2776368,-0.017453292519943295,-0.017453292519943295
1753186973.3969824,-0.017453292519943295,-0.03490658503988659
1753186973.4790835,-0.017453292519943295,-0.03490658503988659
1753186973.5240324,-0.017453292519943295,-0.03490658503988659
1753186973.6489384,-0.017453292519943295,-0.017453292519943295
1753186973.6800208,-0.017453292519943295,-0.017453292519943295
1753186973.773713,-0.017453292519943295,-0.017453292519943295
1753186973.8811567,-0.017453292519943295,-0.017453292519943295
1753186973.8994486,-0.017453292519943295,-0.03490658503988659
1753186974.0270617,-0.017453292519943295,-0.017453292519943295
1753186974.0823393,-0.017453292519943295,-0.017453292519943295
1753186974.1523023,-0.017453292519943295,-0.017453292519943295
1753186974.279915,-0.017453292519943295,-0.017453292519943295
1753186974.283427,-0.017453292519943295,-0.017453292519943295
1753186974.405455,-0.017453292519943295,-0.017453292519943295
1753186974.4888892,-0.017453292519943295,-0.017453292519943295
1753186974.5304828,-0.017453292519943295,-0.017453292519943295
1753186974.6581068,-0.03490658503988659,-0.017453292519943295
1753186974.685614,-0.03490658503988659,-0.017453292519943295
1753186974.7858193,-0.017453292519943295,-0.017453292519943295
1753186974.8863995,-0.017453292519943295,-0.017453292519943295
1753186974.91198,-0.017453292519943295,-0.017453292519943295
1753186975.0392852,-0.017453292519943295,-0.017453292519943295
1753186975.0874522,-0.017453292519943295,-0.017453292519943295
1753186975.1640909,-0.017453292519943295,-0.017453292519943295
1753186975.288659,-0.017453292519943295,-0.017453292519943295
1753186975.2887113,-0.017453292519943295,-0.017453292519943295
1753186975.4146,-0.017453292519943295,-0.017453292519943295
1753186975.4900692,-0.017453292519943295,-0.017453292519943295
1753186975.542696,-0.017453292519943295,-0.03490658503988659
1753186975.6706889,-0.017453292519943295,-0.017453292519943295
1753186975.6909926,-0.017453292519943295,-0.017453292519943295
1753186975.7990046,-0.017453292519943295,-0.017453292519943295
1753186975.8918495,-0.017453292519943295,-0.017453292519943295
1753186975.9235663,-0.017453292519943295,-0.017453292519943295
1753186976.051519,-0.017453292519943295,-0.017453292519943295
1753186976.0927174,-0.017453292519943295,-0.017453292519943295
1753186976.176122,-0.017453292519943295,-0.03490658503988659
1753186976.293418,-0.017453292519943295,-0.03490658503988659
1753186976.300753,-0.017453292519943295,-0.017453292519943295
1753186976.426898,-0.017453292519943295,-0.017453292519943295
1753186976.4953232,-0.017453292519943295,-0.017453292519943295
1753186976.5517104,-0.017453292519943295,-0.03490658503988659
1753186976.6784718,-0.017453292519943295,-0.03490658503988659
1753186976.6969156,-0.017453292519943295,-0.03490658503988659
1753186976.8039649,0.0,-0.017453292519943295
1753186976.8971524,0.0,-0.017453292519943295
1753186976.9298942,-0.017453292519943295,-0.03490658503988659
1753186977.0570762,-0.017453292519943295,-0.017453292519943295
1753186977.0984428,-0.017453292519943295,-0.017453292519943295
1753186977.1849506,-0.017453292519943295,0.0
